                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 0.8688,                0.53768,                  1.194,                0.91638,                0.96875,                0.96118,                0.61257,                 1.3386,                0.49805,                 1.6011,             0.00059703,             0.00059703,             0.00059703
                    107,                0.87846,                0.53592,                 1.1793,                0.98976,                      1,                  0.995,                0.65246,                 1.2692,                 0.5105,                 1.5268,             0.00059403,             0.00059403,             0.00059403
                    108,                0.87487,                0.53692,                 1.1825,                0.96106,                      1,                 0.9875,                0.65456,                 1.2808,                0.53058,                 1.5461,             0.00059103,             0.00059103,             0.00059103
                    109,                0.89479,                0.54307,                 1.1984,                0.98207,                0.99001,                  0.995,                0.64943,                  1.305,                0.50023,                 1.5706,             0.00058803,             0.00058803,             0.00058803
                    110,                0.87385,                0.51668,                 1.1919,                0.97594,                0.99329,                  0.995,                0.66846,                 1.2699,                0.53496,                 1.5541,             0.00058503,             0.00058503,             0.00058503
                    111,                0.87483,                0.52742,                 1.1882,                 0.9878,                0.99385,                  0.995,                0.65659,                 1.2758,                 0.4948,                 1.5256,             0.00058203,             0.00058203,             0.00058203
                    112,                0.86121,                0.51602,                 1.1753,                0.95217,                      1,                0.99412,                0.65894,                 1.2054,                0.50418,                  1.493,             0.00057903,             0.00057903,             0.00057903
                    113,                0.87866,                0.52322,                 1.1884,                0.92051,                0.98438,                0.97333,                0.64091,                 1.2654,                0.61846,                 1.5477,             0.00057603,             0.00057603,             0.00057603
                    114,                0.85071,                0.51861,                 1.1715,                0.97063,                0.96905,                0.99106,                0.64201,                 1.2907,                0.53808,                 1.5501,             0.00057303,             0.00057303,             0.00057303
                    115,                0.88259,                 0.5168,                 1.1985,                0.98669,                      1,                  0.995,                0.65046,                 1.2985,                0.49153,                 1.5756,             0.00057003,             0.00057003,             0.00057003
                    116,                0.89043,                0.51212,                 1.1942,                0.91673,                0.98089,                0.94147,                 0.6217,                 1.3295,                0.57612,                 1.6178,             0.00056703,             0.00056703,             0.00056703
                    117,                0.85959,                0.52075,                 1.1786,                0.97642,                0.99898,                0.99132,                0.65434,                 1.2566,                0.56015,                 1.5707,             0.00056403,             0.00056403,             0.00056403
                    118,                0.87069,                0.52266,                 1.1861,                0.99008,                      1,                  0.995,                0.65705,                 1.2689,                0.47688,                  1.595,             0.00056103,             0.00056103,             0.00056103
                    119,                0.86334,                0.51967,                 1.1864,                0.96819,                      1,                0.99235,                0.65677,                 1.2709,                0.48006,                 1.5598,             0.00055804,             0.00055804,             0.00055804
                    120,                0.86596,                0.51379,                 1.1893,                0.96197,                0.98438,                0.97873,                0.65886,                 1.2474,                0.51674,                 1.5603,             0.00055504,             0.00055504,             0.00055504
                    121,                0.85066,                0.51246,                 1.1693,                0.98972,                 0.9987,                  0.995,                0.66667,                 1.2079,                0.50273,                 1.5298,             0.00055204,             0.00055204,             0.00055204
                    122,                0.84875,                0.50672,                 1.1642,                0.97596,                0.99233,                  0.995,                0.67405,                 1.1929,                0.48593,                 1.5294,             0.00054904,             0.00054904,             0.00054904
                    123,                 0.8546,                0.50335,                  1.179,                0.97325,                      1,                0.99235,                0.63593,                 1.2552,                0.47327,                 1.6014,             0.00054604,             0.00054604,             0.00054604
                    124,                0.84907,                0.49661,                 1.1772,                0.96858,                      1,                0.99412,                0.64811,                 1.3039,                0.47523,                 1.6111,             0.00054304,             0.00054304,             0.00054304
                    125,                 0.8473,                0.49992,                 1.1598,                0.96975,                 0.9826,                0.97693,                0.64375,                 1.3058,                0.48538,                 1.6209,             0.00054004,             0.00054004,             0.00054004
                    126,                0.84183,                0.48764,                 1.1691,                0.98863,                0.97916,                0.99412,                0.64355,                 1.2624,                0.50801,                 1.5539,             0.00053704,             0.00053704,             0.00053704
                    127,                0.85134,                0.50436,                 1.1858,                0.97905,                0.90625,                0.97798,                0.66387,                  1.219,                0.51661,                 1.4894,             0.00053404,             0.00053404,             0.00053404
                    128,                0.83248,                 0.5027,                 1.1647,                0.93599,                      1,                0.98639,                0.66595,                  1.217,                0.52349,                  1.489,             0.00053104,             0.00053104,             0.00053104
                    129,                0.83945,                0.51334,                 1.1699,                0.96703,                0.98438,                0.97644,                0.68271,                 1.2236,                0.48493,                 1.5277,             0.00052804,             0.00052804,             0.00052804
                    130,                0.85279,                0.49987,                 1.1687,                0.98981,                      1,                  0.995,                0.66946,                 1.2087,                0.44382,                 1.5356,             0.00052504,             0.00052504,             0.00052504
                    131,                 0.8461,                 0.4836,                 1.1672,                0.98232,                      1,                  0.995,                0.66568,                 1.2691,                 0.4781,                 1.5723,             0.00052204,             0.00052204,             0.00052204
                    132,                0.83212,                 0.4919,                 1.1734,                0.97593,                0.98101,                 0.9924,                 0.6745,                 1.1998,                0.50867,                 1.4875,             0.00051904,             0.00051904,             0.00051904
                    133,                 0.8349,                0.48749,                 1.1671,                 0.9744,                      1,                0.99324,                0.67688,                 1.1931,                0.49356,                 1.4879,             0.00051604,             0.00051604,             0.00051604
                    134,                0.86242,                0.50121,                 1.1689,                0.98923,                      1,                  0.995,                0.66788,                 1.2264,                 0.4368,                 1.4959,             0.00051304,             0.00051304,             0.00051304
                    135,                0.84325,                0.49647,                 1.1714,                0.96444,                0.98028,                0.98955,                0.66226,                 1.2313,                0.48349,                 1.4825,             0.00051004,             0.00051004,             0.00051004
                    136,                0.84324,                0.49795,                 1.1692,                 0.9843,                      1,                  0.995,                0.65379,                 1.2605,                0.47597,                 1.5192,             0.00050704,             0.00050704,             0.00050704
                    137,                0.80538,                0.48558,                 1.1572,                0.98242,                      1,                  0.995,                0.66469,                 1.2294,                0.45085,                 1.5452,             0.00050404,             0.00050404,             0.00050404
                    138,                0.83992,                0.49668,                 1.1614,                0.98387,                0.98438,                0.99333,                0.66483,                 1.2261,                0.47692,                 1.5107,             0.00050104,             0.00050104,             0.00050104
                    139,                0.80978,                0.48396,                 1.1551,                0.98219,                      1,                  0.995,                0.66448,                 1.2397,                0.45871,                 1.5259,             0.00049804,             0.00049804,             0.00049804
                    140,                0.81114,                0.48779,                  1.156,                0.98932,                      1,                  0.995,                0.65721,                 1.2057,                0.43742,                 1.5095,             0.00049504,             0.00049504,             0.00049504
                    141,                0.83951,                0.49365,                 1.1633,                0.98312,                0.99918,                  0.995,                0.68576,                 1.2021,                0.45086,                 1.5395,             0.00049204,             0.00049204,             0.00049204
                    142,                0.83688,                0.48904,                 1.1593,                0.99074,                      1,                  0.995,                0.68962,                 1.2233,                0.44422,                 1.5158,             0.00048904,             0.00048904,             0.00048904
                    143,                0.83025,                0.49123,                 1.1568,                0.99109,                      1,                  0.995,                0.65941,                 1.2874,                0.46078,                 1.5885,             0.00048604,             0.00048604,             0.00048604
                    144,                0.80856,                0.47868,                  1.155,                0.98516,                  0.997,                  0.995,                0.66468,                 1.2562,                0.47783,                 1.5424,             0.00048304,             0.00048304,             0.00048304
                    145,                0.84716,                0.48728,                 1.1778,                0.96558,                0.99615,                0.99412,                0.67659,                 1.2138,                0.49524,                  1.543,             0.00048004,             0.00048004,             0.00048004
                    146,                0.80029,                0.47209,                 1.1323,                0.98081,                 0.9957,                  0.995,                0.67277,                 1.2145,                0.47318,                 1.5439,             0.00047704,             0.00047704,             0.00047704
                    147,                0.80293,                0.46003,                  1.138,                0.98531,                      1,                  0.995,                0.66787,                 1.2316,                0.47374,                 1.5331,             0.00047404,             0.00047404,             0.00047404
                    148,                0.80171,                0.45748,                 1.1388,                0.94768,                      1,                0.98714,                0.68033,                 1.1883,                0.46729,                 1.5229,             0.00047104,             0.00047104,             0.00047104
                    149,                 0.7976,                0.47287,                 1.1427,                0.92048,                      1,                0.96539,                0.65488,                 1.2344,                 0.5274,                  1.566,             0.00046804,             0.00046804,             0.00046804
                    150,                 0.8225,                0.49528,                 1.1576,                0.95689,                0.92188,                0.97627,                0.65389,                 1.2491,                0.52517,                 1.5422,             0.00046504,             0.00046504,             0.00046504
                    151,                0.80113,                0.46725,                 1.1474,                0.93995,                 0.9375,                0.96345,                0.65575,                 1.2745,                0.55643,                 1.5743,             0.00046204,             0.00046204,             0.00046204
