                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                  1.625,                 1.6994,                 2.2486,                0.84508,                0.74303,                0.84928,                0.43714,                 1.5589,                  1.369,                 2.2693,             0.00091027,             0.00091027,             0.00091027
                    113,                 1.6084,                  1.663,                 2.2499,                0.87274,                0.74872,                0.85803,                0.45683,                 1.6382,                 1.4713,                 2.4215,             0.00090556,             0.00090556,             0.00090556
                    114,                 1.6594,                 1.6584,                 2.3339,                0.72973,                0.83333,                0.83523,                0.49581,                 1.4676,                 1.3921,                 2.2804,             0.00090084,             0.00090084,             0.00090084
                    115,                 1.6297,                 1.6654,                 2.2542,                0.78841,                0.76667,                 0.8651,                0.44966,                 1.5316,                 1.4332,                 2.2952,             0.00089613,             0.00089613,             0.00089613
                    116,                 1.5996,                 1.6034,                 2.2442,                0.72753,                0.76648,                0.77123,                0.43466,                  1.536,                 1.4891,                 2.3597,             0.00089141,             0.00089141,             0.00089141
                    117,                 1.5791,                  1.621,                 2.2409,                0.91024,                0.66667,                0.87051,                 0.5029,                 1.4523,                 1.3019,                 2.1661,             0.00088669,             0.00088669,             0.00088669
                    118,                 1.5986,                 1.6799,                 2.2602,                0.83398,                0.83144,                0.85112,                 0.4549,                 1.5551,                 1.3302,                 2.3468,             0.00088198,             0.00088198,             0.00088198
                    119,                 1.5695,                   1.66,                 2.2192,                0.89294,                0.76667,                0.86582,                0.46887,                 1.5442,                 1.3422,                 2.3252,             0.00087726,             0.00087726,             0.00087726
                    120,                 1.6151,                 1.6738,                 2.2743,                0.77973,                0.76252,                0.81095,                0.46793,                 1.5462,                 1.6133,                 2.2851,             0.00087255,             0.00087255,             0.00087255
                    121,                 1.5648,                 1.6014,                 2.2077,                0.58017,                0.74051,                0.74974,                0.42043,                 1.6299,                 1.4393,                 2.3613,             0.00086783,             0.00086783,             0.00086783
                    122,                  1.533,                 1.5015,                 2.1624,                0.79682,                    0.6,                0.76488,                0.43708,                 1.6437,                 1.3334,                 2.4155,             0.00086312,             0.00086312,             0.00086312
                    123,                 1.5072,                 1.5074,                 2.1669,                0.79093,                0.73333,                0.80429,                0.44402,                 1.6273,                 1.3557,                  2.434,              0.0008584,              0.0008584,              0.0008584
                    124,                 1.5503,                 1.5049,                 2.2131,                0.79607,                0.76639,                0.84887,                  0.445,                 1.5804,                 1.5027,                 2.3918,             0.00085368,             0.00085368,             0.00085368
                    125,                 1.5232,                 1.5335,                 2.1665,                0.87981,                0.74952,                0.89602,                0.49546,                 1.4999,                 1.2767,                 2.3064,             0.00084897,             0.00084897,             0.00084897
                    126,                 1.4913,                 1.6358,                 2.1615,                0.77544,                0.93333,                0.92659,                0.48075,                 1.5966,                 1.1835,                 2.3068,             0.00084425,             0.00084425,             0.00084425
